driver_id,ticket_number,ticket_date,ticket_type,resolution_status,response_time_hours,will_churn,is_noise_churn,ticket_type_missing,resolution_missing,response_time_missing,is_outlier_driver,ticket_type_encoded,resolution_encoded,ticket_risk_score,ticket_month,ticket_dayofweek,ticket_quarter,is_q4
26,8,2023-11-04,payment_delay,resolved,8.2,0,0,0,0,0,1,3,0,1,11,5,4,1
26,9,2023-11-22,demand_issue,resolved,4.1,0,0,0,0,0,1,2,0,2,11,2,4,1
26,10,2023-11-27,demand_issue,partial,29.4,0,0,0,0,0,1,2,1,2,11,0,4,1
26,11,2023-12-01,demand_issue,resolved,9.8,0,0,0,0,0,1,2,0,2,12,4,4,1
26,12,2023-12-03,defective_trip,partial,28.7,0,0,0,0,0,1,1,1,3,12,6,4,1
26,13,2023-12-06,payment_delay,resolved,6.0,0,0,0,0,0,1,3,0,1,12,2,4,1
26,14,2023-12-18,app_issue,resolved,2.9,0,0,0,0,0,1,4,0,1,12,0,4,1
26,15,2023-12-28,defective_trip,partial,34.1,0,0,0,0,0,1,1,1,3,12,3,4,1
26,16,2024-01-05,demand_issue,partial,37.9,0,0,0,0,0,1,2,1,2,1,4,1,0
26,17,2024-01-13,demand_issue,resolved,9.8,0,0,0,0,0,1,2,0,2,1,5,1,0
26,18,2024-01-17,fare_dispute,resolved,4.8,0,0,0,0,0,1,0,0,3,1,2,1,0
26,19,2024-01-27,defective_trip,resolved,6.0,0,0,0,0,0,1,1,0,3,1,5,1,0
26,20,2024-02-01,payment_delay,resolved,1.2,0,0,0,0,0,1,3,0,1,2,3,1,0
26,21,2024-02-17,fare_dispute,resolved,1.5,0,0,0,0,0,1,0,0,3,2,5,1,0
26,22,2024-02-25,demand_issue,resolved,4.6,0,0,0,0,0,1,2,0,2,2,6,1,0
26,23,2024-03-11,demand_issue,resolved,1.3,0,0,0,0,0,1,2,0,2,3,0,1,0
26,24,2024-03-21,demand_issue,unresolved,41.5,0,0,0,1,0,1,2,2,2,3,3,1,0
26,25,2024-03-28,app_issue,unresolved,50.2,0,0,0,1,0,1,4,2,1,3,3,1,0
26,26,2024-04-15,demand_issue,partial,28.1,0,0,0,0,0,1,2,1,2,4,0,2,0
26,27,2024-04-25,fare_dispute,resolved,6.0,0,0,0,0,0,1,0,0,3,4,3,2,0
26,28,2024-05-08,payment_delay,partial,31.0,0,0,0,0,0,1,3,1,1,5,2,2,0
26,29,2024-05-16,fare_dispute,partial,19.8,0,0,0,0,0,1,0,1,3,5,3,2,0
26,30,2024-05-25,payment_delay,resolved,11.8,0,0,0,0,0,1,3,0,1,5,5,2,0
26,31,2024-05-26,demand_issue,resolved,1.7,0,0,0,0,0,1,2,0,2,5,6,2,0
26,32,2024-06-01,payment_delay,resolved,6.0,0,0,0,0,0,1,3,0,1,6,5,2,0
26,33,2024-06-13,demand_issue,resolved,2.1,0,0,0,0,0,1,2,0,2,6,3,2,0
26,34,2024-06-17,payment_delay,unresolved,28.7,0,0,0,1,0,1,3,2,1,6,0,2,0
27,1,2023-08-27,unknown,resolved,4.6,0,0,1,0,0,0,5,0,2,8,6,3,0
28,1,2023-07-19,app_issue,resolved,2.9,0,0,0,0,0,0,4,0,1,7,2,3,0
29,1,2023-03-02,app_issue,unresolved,44.1,0,0,0,1,0,0,4,2,1,3,3,1,0
29,2,2023-03-06,payment_delay,unresolved,5.2,0,0,0,1,0,0,3,2,1,3,0,1,0
30,1,2023-07-24,defective_trip,unresolved,3.4,0,0,0,1,0,0,1,2,3,7,0,3,0
31,1,2023-06-30,fare_dispute,unresolved,41.5,0,0,0,1,0,0,0,2,3,6,4,2,0
32,1,2023-07-18,payment_delay,resolved,4.3,0,0,0,0,0,0,3,0,1,7,1,3,0
33,1,2023-06-12,unknown,unresolved,41.5,1,0,1,1,0,1,5,2,2,6,0,2,0
33,2,2023-06-19,defective_trip,unresolved,52.6,1,0,0,1,0,1,1,2,3,6,0,2,0
33,3,2023-06-28,defective_trip,unresolved,46.6,1,0,0,1,0,1,1,2,3,6,2,2,0
33,4,2023-07-01,fare_dispute,resolved,4.0,1,0,0,0,0,1,0,0,3,7,5,3,0
33,5,2023-07-07,fare_dispute,partial,24.3,1,0,0,0,0,1,0,1,3,7,4,3,0
33,6,2023-07-10,fare_dispute,unresolved,48.3,1,0,0,1,0,1,0,2,3,7,0,3,0
33,7,2023-07-12,fare_dispute,resolved,2.3,1,0,0,0,0,1,0,0,3,7,2,3,0
33,8,2023-07-13,demand_issue,resolved,6.0,1,0,0,0,0,1,2,0,2,7,3,3,0
34,1,2023-08-30,fare_dispute,partial,25.7,0,0,0,0,0,0,0,1,3,8,2,3,0
35,1,2023-03-22,unknown,resolved,5.2,0,0,1,0,0,0,5,0,2,3,2,1,0
36,1,2023-02-21,fare_dispute,partial,18.9,0,0,0,0,0,0,0,1,3,2,1,1,0
37,1,2023-07-31,fare_dispute,resolved,7.2,0,0,0,0,0,0,0,0,3,7,0,3,0
38,1,2023-03-07,defective_trip,resolved,5.0,1,0,0,0,0,0,1,0,3,3,1,1,0
38,2,2023-03-18,payment_delay,unresolved,46.0,1,0,0,1,0,0,3,2,1,3,5,1,0
38,3,2023-03-19,fare_dispute,resolved,6.6,1,0,0,0,0,0,0,0,3,3,6,1,0
38,4,2023-03-20,fare_dispute,unresolved,54.6,1,0,0,1,0,0,0,2,3,3,0,1,0
39,1,2023-05-31,unknown,unresolved,42.7,0,0,1,1,0,0,5,2,2,5,2,2,0
39,2,2023-06-09,payment_delay,unresolved,41.5,0,0,0,1,0,0,3,2,1,6,4,2,0
40,1,2023-04-02,payment_delay,resolved,6.5,0,0,0,0,0,0,3,0,1,4,6,2,0
40,2,2023-04-06,payment_delay,resolved,6.3,0,0,0,0,0,0,3,0,1,4,3,2,0
41,1,2023-06-07,payment_delay,resolved,6.0,0,0,0,0,0,0,3,0,1,6,2,2,0
41,2,2023-06-16,app_issue,unresolved,53.9,0,0,0,1,0,0,4,2,1,6,4,2,0
42,1,2023-05-08,app_issue,resolved,6.0,0,0,0,0,0,0,4,0,1,5,0,2,0
43,1,2023-11-03,payment_delay,resolved,5.6,0,0,0,0,0,0,3,0,1,11,4,4,1
44,1,2023-08-18,defective_trip,resolved,7.6,0,0,0,0,0,0,1,0,3,8,4,3,0
45,1,2023-03-16,defective_trip,resolved,4.9,0,0,0,0,0,0,1,0,3,3,3,1,0
45,2,2023-03-26,defective_trip,resolved,4.8,0,0,0,0,0,0,1,0,3,3,6,1,0
45,3,2023-03-31,demand_issue,resolved,1.0,0,0,0,0,0,0,2,0,2,3,4,1,0
46,1,2023-06-20,fare_dispute,resolved,7.0,0,0,0,0,0,0,0,0,3,6,1,2,0
47,1,2023-06-01,unknown,partial,17.7,0,0,1,0,0,0,5,1,2,6,3,2,0
48,1,2023-08-20,payment_delay,resolved,5.9,0,0,0,0,0,0,3,0,1,8,6,3,0
49,1,2023-02-17,defective_trip,resolved,7.4,0,0,0,0,0,0,1,0,3,2,4,1,0
49,2,2023-02-19,defective_trip,resolved,2.9,0,0,0,0,0,0,1,0,3,2,6,1,0
50,1,2023-06-06,payment_delay,unresolved,52.0,1,0,0,1,0,1,3,2,1,6,1,2,0
50,2,2023-06-21,fare_dispute,unresolved,41.5,1,0,0,1,0,1,0,2,3,6,2,2,0
50,3,2023-06-27,defective_trip,resolved,1.0,1,0,0,0,0,1,1,0,3,6,1,2,0
50,4,2023-07-01,fare_dispute,unresolved,49.2,1,0,0,1,0,1,0,2,3,7,5,3,0
50,5,2023-07-04,demand_issue,partial,29.5,1,0,0,0,0,1,2,1,2,7,1,3,0
50,6,2023-07-05,defective_trip,unresolved,27.1,1,0,0,1,0,1,1,2,3,7,2,3,0
50,7,2023-07-06,fare_dispute,unresolved,29.7,1,0,0,1,0,1,0,2,3,7,3,3,0
50,8,2023-07-11,unknown,unresolved,44.9,1,0,1,1,0,1,5,2,2,7,1,3,0
51,1,2023-08-31,defective_trip,resolved,7.9,0,0,0,0,0,0,1,0,3,8,3,3,0
51,2,2023-09-01,demand_issue,resolved,6.0,0,0,0,0,0,0,2,0,2,9,4,3,0
52,1,2023-10-04,defective_trip,resolved,5.1,0,0,0,0,0,0,1,0,3,10,2,4,1
53,1,2023-07-06,demand_issue,resolved,6.8,0,0,0,0,0,0,2,0,2,7,3,3,0
53,2,2023-07-16,fare_dispute,resolved,6.7,0,0,0,0,0,0,0,0,3,7,6,3,0
54,1,2023-09-07,fare_dispute,unresolved,11.7,0,0,0,1,0,0,0,2,3,9,3,3,0
55,1,2023-06-05,fare_dispute,resolved,5.2,0,0,0,0,0,0,0,0,3,6,0,2,0
55,2,2023-06-14,demand_issue,resolved,6.0,0,0,0,0,0,0,2,0,2,6,2,2,0
55,3,2023-06-19,payment_delay,resolved,5.6,0,0,0,0,0,0,3,0,1,6,0,2,0
56,1,2023-01-20,demand_issue,partial,25.4,0,0,0,0,0,0,2,1,2,1,4,1,0
56,2,2023-01-29,payment_delay,unresolved,41.5,0,0,0,1,0,0,3,2,1,1,6,1,0
56,3,2023-01-31,app_issue,unresolved,52.1,0,0,0,1,0,0,4,2,1,1,1,1,0
56,4,2023-02-09,fare_dispute,resolved,6.9,0,0,0,0,0,0,0,0,3,2,3,1,0
57,1,2023-10-17,fare_dispute,unresolved,45.1,1,0,0,1,0,0,0,2,3,10,1,4,1
57,2,2023-10-18,demand_issue,unresolved,59.1,1,0,0,1,0,0,2,2,2,10,2,4,1
57,3,2023-10-27,demand_issue,unresolved,53.0,1,0,0,1,0,0,2,2,2,10,4,4,1
57,4,2023-10-31,app_issue,unresolved,54.4,1,0,0,1,0,0,4,2,1,10,1,4,1
57,5,2023-11-01,demand_issue,unresolved,54.3,1,0,0,1,0,0,2,2,2,11,2,4,1
57,6,2023-11-06,defective_trip,unresolved,54.3,1,0,0,1,0,0,1,2,3,11,0,4,1
58,1,2023-02-02,payment_delay,resolved,8.1,0,0,0,0,0,0,3,0,1,2,3,1,0
58,2,2023-02-16,payment_delay,resolved,5.1,0,0,0,0,0,0,3,0,1,2,3,1,0
58,3,2023-02-26,demand_issue,resolved,7.5,0,0,0,0,0,0,2,0,2,2,6,1,0
59,1,2023-05-18,payment_delay,resolved,1.0,0,0,0,0,0,0,3,0,1,5,3,2,0
60,1,2023-08-22,demand_issue,partial,13.1,1,0,0,0,0,0,2,1,2,8,1,3,0
61,1,2023-04-15,demand_issue,resolved,6.0,0,0,0,0,0,1,2,0,2,4,5,2,0
61,2,2023-04-23,demand_issue,resolved,5.2,0,0,0,0,0,1,2,0,2,4,6,2,0
61,3,2023-05-03,payment_delay,unresolved,43.8,0,0,0,1,0,1,3,2,1,5,2,2,0
61,4,2023-05-19,demand_issue,resolved,2.4,0,0,0,0,0,1,2,0,2,5,4,2,0
61,5,2023-05-31,app_issue,partial,25.4,0,0,0,0,0,1,4,1,1,5,2,2,0
61,6,2023-06-19,demand_issue,resolved,3.7,0,0,0,0,0,1,2,0,2,6,0,2,0
61,7,2023-06-26,payment_delay,resolved,9.5,0,0,0,0,0,1,3,0,1,6,0,2,0
62,1,2023-07-08,payment_delay,resolved,7.2,0,0,0,0,0,0,3,0,1,7,5,3,0
62,2,2023-07-10,payment_delay,resolved,6.1,0,0,0,0,0,0,3,0,1,7,0,3,0
62,3,2023-07-19,demand_issue,resolved,6.0,0,0,0,0,0,0,2,0,2,7,2,3,0
62,4,2023-07-25,demand_issue,resolved,10.4,0,0,0,0,0,0,2,0,2,7,1,3,0
62,5,2023-07-30,app_issue,resolved,5.0,0,0,0,0,0,0,4,0,1,7,6,3,0
63,1,2023-06-15,app_issue,partial,15.6,0,0,0,0,0,0,4,1,1,6,3,2,0
64,1,2023-09-26,app_issue,resolved,8.1,0,0,0,0,0,0,4,0,1,9,1,3,0
65,1,2023-09-07,fare_dispute,resolved,8.9,1,1,0,0,0,0,0,0,3,9,3,3,0
65,2,2023-09-12,unknown,unresolved,4.9,1,1,1,1,0,0,5,2,2,9,1,3,0
66,1,2023-03-07,fare_dispute,partial,21.3,0,0,0,0,0,0,0,1,3,3,1,1,0
67,1,2023-01-25,demand_issue,resolved,3.8,0,0,0,0,0,0,2,0,2,1,2,1,0
68,1,2023-06-07,demand_issue,resolved,6.0,0,0,0,0,0,0,2,0,2,6,2,2,0
69,1,2023-06-08,payment_delay,resolved,7.2,0,0,0,0,0,0,3,0,1,6,3,2,0
70,1,2023-10-29,demand_issue,unresolved,63.2,0,0,0,1,0,0,2,2,2,10,6,4,1
71,1,2023-08-25,defective_trip,resolved,1.0,0,0,0,0,0,0,1,0,3,8,4,3,0
71,2,2023-08-31,fare_dispute,resolved,9.9,0,0,0,0,0,0,0,0,3,8,3,3,0
72,1,2023-07-06,payment_delay,resolved,3.8,0,0,0,0,0,0,3,0,1,7,3,3,0
73,1,2023-06-05,payment_delay,resolved,6.5,0,0,0,0,0,0,3,0,1,6,0,2,0
73,2,2023-06-18,defective_trip,resolved,4.2,0,0,0,0,0,0,1,0,3,6,6,2,0
73,3,2023-06-29,fare_dispute,unresolved,5.7,0,0,0,1,0,0,0,2,3,6,3,2,0
73,4,2023-07-08,payment_delay,partial,34.2,0,0,0,0,0,0,3,1,1,7,5,3,0
74,1,2023-01-29,defective_trip,resolved,6.0,1,0,0,0,0,0,1,0,3,1,6,1,0
74,2,2023-01-30,fare_dispute,partial,34.3,1,0,0,0,0,0,0,1,3,1,0,1,0
74,3,2023-02-02,fare_dispute,unresolved,41.5,1,0,0,1,0,0,0,2,3,2,3,1,0
75,1,2023-02-13,defective_trip,resolved,1.0,0,0,0,0,0,0,1,0,3,2,0,1,0
75,2,2023-02-23,app_issue,partial,23.2,0,0,0,0,0,0,4,1,1,2,3,1,0
75,3,2023-02-27,app_issue,partial,21.5,0,0,0,0,0,0,4,1,1,2,0,1,0
75,4,2023-03-11,demand_issue,resolved,8.8,0,0,0,0,0,0,2,0,2,3,5,1,0
76,1,2023-10-23,defective_trip,resolved,7.8,0,0,0,0,0,0,1,0,3,10,0,4,1
76,2,2023-11-02,fare_dispute,resolved,5.9,0,0,0,0,0,0,0,0,3,11,3,4,1
77,1,2023-11-07,fare_dispute,resolved,6.6,0,0,0,0,0,0,0,0,3,11,1,4,1
78,1,2023-06-21,payment_delay,resolved,13.4,0,0,0,0,0,0,3,0,1,6,2,2,0
78,2,2023-07-08,app_issue,unresolved,37.5,0,0,0,1,0,0,4,2,1,7,5,3,0
79,1,2023-02-28,demand_issue,partial,33.7,0,0,0,0,0,0,2,1,2,2,1,1,0
80,1,2023-10-08,payment_delay,resolved,6.0,0,0,0,0,0,0,3,0,1,10,6,4,1
81,1,2023-10-27,demand_issue,unresolved,29.8,1,0,0,1,0,1,2,2,2,10,4,4,1
81,2,2023-11-17,unknown,resolved,6.0,1,0,1,0,0,1,5,0,2,11,4,4,1
81,3,2023-11-28,fare_dispute,unresolved,14.9,1,0,0,1,0,1,0,2,3,11,1,4,1
81,4,2023-12-02,app_issue,partial,19.7,1,0,0,0,0,1,4,1,1,12,5,4,1
81,5,2023-12-06,defective_trip,unresolved,61.4,1,0,0,1,0,1,1,2,3,12,2,4,1
81,6,2023-12-10,fare_dispute,unresolved,6.4,1,0,0,1,0,1,0,2,3,12,6,4,1
81,7,2023-12-12,defective_trip,unresolved,55.9,1,0,0,1,0,1,1,2,3,12,1,4,1
81,8,2023-12-15,fare_dispute,unresolved,41.5,1,0,0,1,0,1,0,2,3,12,4,4,1
81,9,2023-12-16,fare_dispute,unresolved,41.5,1,0,0,1,0,1,0,2,3,12,5,4,1
81,10,2023-12-19,defective_trip,unresolved,44.9,1,0,0,1,0,1,1,2,3,12,1,4,1
81,11,2023-12-20,demand_issue,unresolved,37.7,1,0,0,1,0,1,2,2,2,12,2,4,1
81,12,2023-12-22,fare_dispute,unresolved,52.0,1,0,0,1,0,1,0,2,3,12,4,4,1
82,1,2023-08-12,fare_dispute,resolved,8.5,0,0,0,0,0,0,0,0,3,8,5,3,0
82,2,2023-08-22,defective_trip,resolved,8.1,0,0,0,0,0,0,1,0,3,8,1,3,0
83,1,2023-08-12,defective_trip,unresolved,64.6,1,0,0,1,0,0,1,2,3,8,5,3,0
83,2,2023-08-21,fare_dispute,resolved,10.5,1,0,0,0,0,0,0,0,3,8,0,3,0
83,3,2023-08-25,fare_dispute,unresolved,43.0,1,0,0,1,0,0,0,2,3,8,4,3,0
84,1,2023-04-18,fare_dispute,resolved,10.1,0,0,0,0,0,0,0,0,3,4,1,2,0
85,1,2023-07-28,payment_delay,resolved,3.7,0,0,0,0,0,0,3,0,1,7,4,3,0
85,2,2023-08-06,payment_delay,resolved,6.8,0,0,0,0,0,0,3,0,1,8,6,3,0
86,1,2023-10-30,demand_issue,resolved,9.9,1,1,0,0,0,0,2,0,2,10,0,4,1
87,1,2023-09-18,payment_delay,resolved,4.2,0,0,0,0,0,0,3,0,1,9,0,3,0
88,1,2023-02-10,app_issue,unresolved,41.5,0,0,0,1,0,0,4,2,1,2,4,1,0
89,1,2023-03-23,unknown,unresolved,36.0,1,0,1,1,0,0,5,2,2,3,3,1,0
89,2,2023-04-01,defective_trip,unresolved,5.9,1,0,0,1,0,0,1,2,3,4,5,2,0
89,3,2023-04-13,app_issue,unresolved,1.9,1,0,0,1,0,0,4,2,1,4,3,2,0
89,4,2023-04-16,fare_dispute,unresolved,7.6,1,0,0,1,0,0,0,2,3,4,6,2,0
89,5,2023-04-17,fare_dispute,unresolved,56.6,1,0,0,1,0,0,0,2,3,4,0,2,0
89,6,2023-04-22,demand_issue,unresolved,41.5,1,0,0,1,0,0,2,2,2,4,5,2,0
90,1,2023-01-08,fare_dispute,resolved,13.2,0,0,0,0,0,0,0,0,3,1,6,1,0
91,1,2023-11-06,fare_dispute,unresolved,3.1,0,0,0,1,0,0,0,2,3,11,0,4,1
92,1,2023-04-29,demand_issue,unresolved,51.3,1,0,0,1,0,1,2,2,2,4,5,2,0
92,2,2023-05-09,defective_trip,unresolved,41.4,1,0,0,1,0,1,1,2,3,5,1,2,0
92,3,2023-05-10,defective_trip,resolved,8.2,1,0,0,0,0,1,1,0,3,5,2,2,0
92,4,2023-05-14,app_issue,unresolved,49.8,1,0,0,1,0,1,4,2,1,5,6,2,0
