driver_id,total_tickets,fare_disputes,defective_trips,demand_issues,payment_delays,app_issues,unknown_tickets,high_risk_tickets,unresolved_count,resolved_count,partial_count,unresolved_rate,resolved_rate,repeat_issues,has_repeat_issues,is_outlier_driver,last_ticket_resolved,last_ticket_unresolved,last_ticket_risk,last_response_time,second_last_resolved,second_last_unresolved,second_last_risk,consecutive_unresolved_end,weighted_unresolved,weighted_high_risk,weighted_risk_score,weighted_response_time,journey_length_days,days_since_last_ticket,avg_gap_days,min_gap_days,max_gap_days,gap_std,escalation_rate,tickets_per_week,avg_response_time,max_response_time,response_time_trend,last_ticket_month,last_ticket_quarter,is_q4_churn,q4_ticket_rate,unresolved_high_risk,volume_x_unresolved,response_x_unresolved,will_churn,is_noise_churn
11,1,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,2,6.0,1,0,0,0,0.0,0.0,2.0,6.0,1,581,0.0,0,0,0.0,0,1.0,6.0,6.0,0.0,8,3,0,0.0,0,0.0,0.0,0,0
12,1,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,2,12.8,1,0,0,0,0.0,0.0,2.0,12.8,1,698,0.0,0,0,0.0,0,1.0,12.8,12.8,0.0,4,2,0,0.0,0,0.0,0.0,0,0
13,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,32.0,1,0,0,0,0.0,0.0,1.0,32.0,1,518,0.0,0,0,0.0,0,1.0,32.0,32.0,0.0,10,4,1,1.0,0,0.0,0.0,0,0
14,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,3.4,1,0,0,0,0.0,0.0,1.0,3.4,1,582,0.0,0,0,0.0,0,1.0,3.4,3.4,0.0,8,3,0,0.0,0,0.0,0.0,0,0
15,2,0,0,1,0,1,0,0,1,1,0,0.5,0.5,0,0,0,0,1,1,9.7,1,0,2,1,1.0,0.0,1.411764705882353,7.435294117647058,13,761,12.0,12,12,0.0,0,1.0769230769230769,6.949999999999999,9.7,5.499999999999999,2,1,0,0.0,0,1.0,3.4749999999999996,0,0
16,2,1,0,0,1,0,0,1,1,1,0,0.5,0.5,0,0,0,1,0,1,9.2,0,1,3,0,0.7,0.7,1.8235294117647056,6.56470588235294,15,660,14.0,14,14,0.0,0,0.9333333333333333,6.0,9.2,6.3999999999999995,5,2,0,0.0,1,1.0,3.0,0,0
17,39,9,8,6,10,3,3,17,4,25,10,0.10256410256410256,0.6410256410256411,33,1,1,0,0,3,33.4,1,0,2,0,0.2,2.6499999999999977,2.417582417582422,14.510989010989027,352,148,9.236842105263158,1,19,4.991752200149846,-4,0.7755681818181819,13.043589743589743,50.6,29.9,10,4,1,0.28205128205128205,68,4.0,1.3378040762656147,0,0
18,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,10.8,1,0,0,0,0.0,0.0,1.0,10.8,1,685,0.0,0,0,0.0,0,1.0,10.8,10.8,0.0,5,2,0,0.0,0,0.0,0.0,0,0
19,2,0,1,0,0,1,0,1,0,2,0,0.0,1.0,0,0,0,1,0,1,4.0,1,0,3,0,0.0,0.7,1.8235294117647056,4.123529411764705,12,722,11.0,11,11,0.0,0,1.1666666666666667,4.15,4.3,-0.2999999999999998,3,1,0,0.0,0,0.0,0.0,0,0
20,1,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,2,5.9,1,0,0,0,0.0,0.0,2.0,5.9,1,512,0.0,0,0,0.0,0,1.0,5.9,5.9,0.0,10,4,1,1.0,0,0.0,0.0,0,0
21,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,38.4,1,0,0,0,0.0,0.0,2.0,38.4,1,563,0.0,0,0,0.0,0,1.0,38.4,38.4,0.0,9,3,0,0.0,0,0.0,0.0,0,0
22,1,0,1,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,7.5,1,0,0,0,0.0,1.0,3.0,7.5,1,667,0.0,0,0,0.0,0,1.0,7.5,7.5,0.0,5,2,0,0.0,0,0.0,0.0,0,0
23,1,0,1,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,2.8,1,0,0,0,0.0,1.0,3.0,2.8,1,625,0.0,0,0,0.0,0,1.0,2.8,2.8,0.0,7,3,0,0.0,0,0.0,0.0,0,0
24,10,3,3,2,1,0,1,6,7,2,1,0.7,0.2,5,1,1,0,1,3,46.1,0,1,3,3,2.6,2.5000000000000004,2.709677419354838,39.596774193548384,30,568,3.2222222222222223,1,9,2.3934065809486684,2,2.3333333333333335,35.81,54.1,4.600000000000001,8,3,0,0.0,42,7.0,25.067,1,0
25,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,10.3,1,0,0,0,0.0,0.0,1.0,10.3,1,765,0.0,0,0,0.0,0,1.0,10.3,10.3,0.0,2,1,0,0.0,0,0.0,0.0,0,0
26,34,6,5,11,8,4,0,11,6,20,8,0.17647058823529413,0.5882352941176471,29,1,1,0,1,1,28.7,1,0,2,1,1.2500000000000002,0.65,1.6395348837209311,14.48720930232559,292,273,8.818181818181818,1,28,5.5511644721846585,0,0.8150684931506849,15.25294117647059,53.2,-24.500000000000004,6,2,0,0.29411764705882354,66,6.0,2.6916955017301043,0,0
27,1,0,0,0,0,0,1,0,0,1,0,0.0,1.0,0,0,0,1,0,2,4.6,1,0,0,0,0.0,0.0,2.0,4.6,1,568,0.0,0,0,0.0,0,1.0,4.6,4.6,0.0,8,3,0,0.0,0,0.0,0.0,0,0
28,1,0,0,0,0,1,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,2.9,1,0,0,0,0.0,0.0,1.0,2.9,1,607,0.0,0,0,0.0,0,1.0,2.9,2.9,0.0,7,3,0,0.0,0,0.0,0.0,0,0
29,2,0,0,0,1,1,0,0,2,0,0,1.0,0.0,0,0,0,0,1,1,5.2,0,1,1,2,1.7,0.0,1.0,21.21764705882353,5,742,4.0,4,4,0.0,0,2.0,24.650000000000002,44.1,-38.9,3,1,0,0.0,0,2.0,24.650000000000002,0,0
30,1,0,1,0,0,0,0,1,1,0,0,1.0,0.0,0,0,0,0,1,3,3.4,1,0,0,1,1.0,1.0,3.0,3.4,1,602,0.0,0,0,0.0,0,1.0,3.4,3.4,0.0,7,3,0,0.0,1,1.0,3.4,0,0
31,1,1,0,0,0,0,0,1,1,0,0,1.0,0.0,0,0,0,0,1,3,41.5,1,0,0,1,1.0,1.0,3.0,41.5,1,626,0.0,0,0,0.0,0,1.0,41.5,41.5,0.0,6,2,0,0.0,1,1.0,41.5,0,0
32,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,4.3,1,0,0,0,0.0,0.0,1.0,4.3,1,608,0.0,0,0,0.0,0,1.0,4.3,4.3,0.0,7,3,0,0.0,0,0.0,0.0,0,0
33,8,4,2,1,0,0,1,6,4,3,1,0.5,0.375,4,1,1,1,0,2,6.0,1,0,3,0,0.7999999999999999,1.9000000000000001,2.633333333333333,17.973333333333326,32,613,4.428571428571429,1,9,2.718042512920064,6,1.75,28.199999999999996,52.6,-35.5,7,3,0,0.0,24,4.0,14.099999999999998,1,0
34,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,3,25.7,1,0,0,0,0.0,1.0,3.0,25.7,1,565,0.0,0,0,0.0,0,1.0,25.7,25.7,0.0,8,3,0,0.0,0,0.0,0.0,0,0
35,1,0,0,0,0,0,1,0,0,1,0,0.0,1.0,0,0,0,1,0,2,5.2,1,0,0,0,0.0,0.0,2.0,5.2,1,726,0.0,0,0,0.0,0,1.0,5.2,5.2,0.0,3,1,0,0.0,0,0.0,0.0,0,0
36,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,3,18.9,1,0,0,0,0.0,1.0,3.0,18.9,1,755,0.0,0,0,0.0,0,1.0,18.9,18.9,0.0,2,1,0,0.0,0,0.0,0.0,0,0
37,1,1,0,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,7.2,1,0,0,0,0.0,1.0,3.0,7.2,1,595,0.0,0,0,0.0,0,1.0,7.2,7.2,0.0,7,3,0,0.0,0,0.0,0.0,0,0
38,4,2,1,0,1,0,0,3,2,2,0,0.5,0.5,1,1,0,0,1,3,54.6,1,0,3,1,1.5,2.0,2.6,33.488,14,728,4.333333333333333,1,11,4.714045207910317,10,2.0,28.05,54.6,49.6,3,1,0,0.0,6,2.0,14.025,1,0
39,2,0,0,0,1,0,1,0,2,0,0,1.0,0.0,0,0,0,0,1,1,41.5,0,1,2,2,1.7,0.0,1.411764705882353,41.99411764705882,10,647,9.0,9,9,0.0,0,1.4,42.1,42.7,-1.2000000000000028,6,2,0,0.0,0,2.0,42.1,0,0
40,2,0,0,0,2,0,0,0,0,2,0,0.0,1.0,1,1,0,1,0,1,6.3,1,0,1,0,0.0,0.0,1.0,6.38235294117647,5,711,4.0,4,4,0.0,0,2.0,6.4,6.5,-0.20000000000000018,4,2,0,0.0,0,0.0,0.0,0,0
41,2,0,0,0,1,1,0,0,1,1,0,0.5,0.5,0,0,0,0,1,1,53.9,1,0,1,1,1.0,0.0,1.0,34.17647058823529,10,640,9.0,9,9,0.0,0,1.4,29.95,53.9,47.9,6,2,0,0.0,0,1.0,14.975,0,0
42,1,0,0,0,0,1,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,6.0,1,0,0,0,0.0,0.0,1.0,6.0,1,679,0.0,0,0,0.0,0,1.0,6.0,6.0,0.0,5,2,0,0.0,0,0.0,0.0,0,0
43,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,5.6,1,0,0,0,0.0,0.0,1.0,5.6,1,500,0.0,0,0,0.0,0,1.0,5.6,5.6,0.0,11,4,1,1.0,0,0.0,0.0,0,0
44,1,0,1,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,7.6,1,0,0,0,0.0,1.0,3.0,7.6,1,577,0.0,0,0,0.0,0,1.0,7.6,7.6,0.0,8,3,0,0.0,0,0.0,0.0,0,0
45,3,0,2,1,0,0,0,2,0,3,0,0.0,1.0,1,1,0,1,0,2,1.0,1,0,3,0,0.0,1.2,2.545454545454545,3.0954545454545452,16,717,7.5,5,10,2.5,5,1.3125,3.5666666666666664,4.9,-3.9000000000000004,3,1,0,0.0,0,0.0,0.0,0,0
46,1,1,0,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,7.0,1,0,0,0,0.0,1.0,3.0,7.0,1,636,0.0,0,0,0.0,0,1.0,7.0,7.0,0.0,6,2,0,0.0,0,0.0,0.0,0,0
47,1,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,17.7,1,0,0,0,0.0,0.0,2.0,17.7,1,655,0.0,0,0,0.0,0,1.0,17.7,17.7,0.0,6,2,0,0.0,0,0.0,0.0,0,0
48,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,5.9,1,0,0,0,0.0,0.0,1.0,5.9,1,575,0.0,0,0,0.0,0,1.0,5.9,5.9,0.0,8,3,0,0.0,0,0.0,0.0,0,0
49,2,0,2,0,0,0,0,2,0,2,0,0.0,1.0,1,1,0,1,0,3,2.9,1,0,3,0,0.0,1.7,3.0,4.752941176470588,3,757,2.0,2,2,0.0,0,2.0,5.15,7.4,-4.5,2,1,0,0.0,0,0.0,0.0,0,0
50,8,3,2,1,1,0,1,5,6,1,1,0.75,0.125,3,1,1,0,1,2,44.9,0,1,3,3,2.6000000000000005,1.6,2.499999999999999,35.79333333333333,36,615,5.0,1,15,4.44007721940573,10,1.5555555555555554,34.3625,52.0,-7.100000000000001,7,3,0,0.0,30,6.0,25.771874999999998,1,0
51,2,0,1,1,0,0,0,1,0,2,0,0.0,1.0,0,0,0,1,0,2,6.0,1,0,3,0,0.0,0.7,2.411764705882353,6.782352941176471,2,563,1.0,1,1,0.0,0,2.0,6.95,7.9,-1.9000000000000004,9,3,0,0.0,0,0.0,0.0,0,0
52,1,0,1,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,5.1,1,0,0,0,0.0,1.0,3.0,5.1,1,530,0.0,0,0,0.0,0,1.0,5.1,5.1,0.0,10,4,1,1.0,0,0.0,0.0,0,0
53,2,1,0,1,0,0,0,1,0,2,0,0.0,1.0,0,0,0,1,0,3,6.7,1,0,2,0,0.0,1.0,2.588235294117647,6.741176470588236,11,610,10.0,10,10,0.0,0,1.2727272727272727,6.75,6.8,-0.09999999999999964,7,3,0,0.0,0,0.0,0.0,0,0
54,1,1,0,0,0,0,0,1,1,0,0,1.0,0.0,0,0,0,0,1,3,11.7,1,0,0,1,1.0,1.0,3.0,11.7,1,557,0.0,0,0,0.0,0,1.0,11.7,11.7,0.0,9,3,0,0.0,1,1.0,11.7,0,0
55,3,1,0,1,1,0,0,1,0,3,0,0.0,1.0,0,0,0,1,0,1,5.6,1,0,2,0,0.0,0.5,1.7727272727272725,5.636363636363635,15,637,7.0,5,9,2.0,4,1.4000000000000001,5.599999999999999,6.0,0.39999999999999947,6,2,0,0.0,0,0.0,0.0,0,0
56,4,1,0,1,1,1,0,1,2,1,1,0.5,0.25,0,0,0,1,0,3,6.9,0,1,1,0,1.2,1.0,1.92,28.696000000000005,21,767,6.666666666666667,2,9,3.299831645537222,0,1.3333333333333333,31.475,52.1,-18.5,2,1,0,0.0,2,2.0,15.7375,0,0
57,6,1,1,3,0,1,0,2,6,0,0,1.0,0.0,2,1,0,0,1,3,54.3,0,1,2,6,2.8000000000000003,1.1,2.214285714285714,54.19285714285713,21,497,4.0,1,9,2.9664793948382653,-4,2.0,53.36666666666667,59.1,9.199999999999996,11,4,1,1.0,12,6.0,53.36666666666667,1,0
58,3,0,0,1,2,0,0,0,0,3,0,0.0,1.0,1,1,0,1,0,2,7.5,1,0,1,0,0.0,0.0,1.4545454545454546,6.872727272727273,25,750,12.0,10,14,2.0,4,0.84,6.8999999999999995,8.1,-0.5999999999999996,2,1,0,0.0,0,0.0,0.0,0,0
59,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,1.0,1,0,0,0,0.0,0.0,1.0,1.0,1,669,0.0,0,0,0.0,0,1.0,1.0,1.0,0.0,5,2,0,0.0,0,0.0,0.0,0,0
60,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,13.1,1,0,0,0,0.0,0.0,2.0,13.1,1,573,0.0,0,0,0.0,0,1.0,13.1,13.1,0.0,8,3,0,0.0,0,0.0,0.0,1,0
61,7,0,0,4,2,1,0,0,1,5,1,0.14285714285714285,0.7142857142857143,4,1,1,1,0,1,9.5,1,0,2,0,0.2,0.0,1.4137931034482758,12.203448275862067,73,630,12.0,7,19,4.281744192888376,1,0.6712328767123288,13.714285714285714,43.8,3.5,6,2,0,0.0,0,1.0,1.9591836734693875,0,0
62,5,0,0,2,2,1,0,0,0,5,0,0.0,1.0,2,1,0,1,0,1,5.0,1,0,2,0,0.0,0.0,1.4444444444444444,6.87037037037037,23,596,5.5,2,9,2.5,-3,1.5217391304347827,6.94,10.4,-2.2,7,3,0,0.0,0,0.0,0.0,0,0
63,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,15.6,1,0,0,0,0.0,0.0,1.0,15.6,1,641,0.0,0,0,0.0,0,1.0,15.6,15.6,0.0,6,2,0,0.0,0,0.0,0.0,0,0
64,1,0,0,0,0,1,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,8.1,1,0,0,0,0.0,0.0,1.0,8.1,1,538,0.0,0,0,0.0,0,1.0,8.1,8.1,0.0,9,3,0,0.0,0,0.0,0.0,0,0
65,2,1,0,0,0,0,1,1,1,1,0,0.5,0.5,0,0,0,0,1,2,4.9,1,0,3,1,1.0,0.7,2.411764705882353,6.547058823529412,6,552,5.0,5,5,0.0,0,2.0,6.9,8.9,-4.0,9,3,0,0.0,1,1.0,3.45,1,1
66,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,3,21.3,1,0,0,0,0.0,1.0,3.0,21.3,1,741,0.0,0,0,0.0,0,1.0,21.3,21.3,0.0,3,1,0,0.0,0,0.0,0.0,0,0
67,1,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,2,3.8,1,0,0,0,0.0,0.0,2.0,3.8,1,782,0.0,0,0,0.0,0,1.0,3.8,3.8,0.0,1,1,0,0.0,0,0.0,0.0,0,0
68,1,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,2,6.0,1,0,0,0,0.0,0.0,2.0,6.0,1,649,0.0,0,0,0.0,0,1.0,6.0,6.0,0.0,6,2,0,0.0,0,0.0,0.0,0,0
69,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,7.2,1,0,0,0,0.0,0.0,1.0,7.2,1,648,0.0,0,0,0.0,0,1.0,7.2,7.2,0.0,6,2,0,0.0,0,0.0,0.0,0,0
70,1,0,0,1,0,0,0,0,1,0,0,1.0,0.0,0,0,0,0,1,2,63.2,1,0,0,1,1.0,0.0,2.0,63.2,1,505,0.0,0,0,0.0,0,1.0,63.2,63.2,0.0,10,4,1,1.0,0,1.0,63.2,0,0
71,2,1,1,0,0,0,0,2,0,2,0,0.0,1.0,0,0,0,1,0,3,9.9,1,0,3,0,0.0,1.7,3.0,6.235294117647059,7,564,6.0,6,6,0.0,0,2.0,5.45,9.9,8.9,8,3,0,0.0,0,0.0,0.0,0,0
72,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,3.8,1,0,0,0,0.0,0.0,1.0,3.8,1,620,0.0,0,0,0.0,0,1.0,3.8,3.8,0.0,7,3,0,0.0,0,0.0,0.0,0,0
73,4,1,1,0,2,0,0,2,1,2,1,0.25,0.5,1,1,0,0,0,1,34.2,0,1,3,0,0.7,1.2,1.9599999999999997,16.896000000000004,34,618,11.0,9,13,1.632993161855452,4,0.823529411764706,12.65,34.2,27.700000000000003,7,3,0,0.0,2,1.0,3.1625,0,0
74,3,2,1,0,0,0,0,3,1,1,1,0.3333333333333333,0.3333333333333333,1,1,0,0,1,3,41.5,0,0,3,1,1.0,2.2,2.9999999999999996,31.140909090909084,5,774,2.0,1,3,1.0,-2,3.0,27.266666666666666,41.5,35.5,2,1,0,0.0,3,1.0,9.088888888888889,1,0
75,4,0,1,1,0,2,0,1,0,2,2,0.0,0.5,1,1,0,1,0,2,8.8,0,0,1,0,0.0,0.3,1.64,14.3,27,737,8.666666666666666,4,12,3.39934634239519,-2,1.037037037037037,13.625,23.2,7.800000000000001,3,1,0,0.0,0,0.0,0.0,0,0
76,2,1,1,0,0,0,0,2,0,2,0,0.0,1.0,0,0,0,1,0,3,5.9,1,0,3,0,0.0,1.7,3.0,6.682352941176471,11,501,10.0,10,10,0.0,0,1.2727272727272727,6.85,7.8,-1.8999999999999995,11,4,1,1.0,0,0.0,0.0,0,0
77,1,1,0,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,6.6,1,0,0,0,0.0,1.0,3.0,6.6,1,496,0.0,0,0,0.0,0,1.0,6.6,6.6,0.0,11,4,1,1.0,0,0.0,0.0,0,0
78,2,0,0,0,1,1,0,0,1,1,0,0.5,0.5,0,0,0,0,1,1,37.5,1,0,1,1,1.0,0.0,1.0,27.576470588235292,18,618,17.0,17,17,0.0,0,0.7777777777777777,25.45,37.5,24.1,7,3,0,0.0,0,1.0,12.725,0,0
79,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,33.7,1,0,0,0,0.0,0.0,2.0,33.7,1,748,0.0,0,0,0.0,0,1.0,33.7,33.7,0.0,2,1,0,0.0,0,0.0,0.0,0,0
80,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,6.0,1,0,0,0,0.0,0.0,1.0,6.0,1,526,0.0,0,0,0.0,0,1.0,6.0,6.0,0.0,10,4,1,1.0,0,0.0,0.0,0,0
81,12,5,3,2,0,1,1,8,10,1,1,0.8333333333333334,0.08333333333333333,7,1,1,0,1,3,52.0,0,1,2,8,3.1,2.35,2.7187500000000004,42.96250000000002,57,451,5.090909090909091,1,21,5.664154361252805,19,1.473684210526316,34.30833333333333,61.4,22.2,12,4,1,1.0,80,10.0,28.590277777777775,1,0
82,2,1,1,0,0,0,0,2,0,2,0,0.0,1.0,0,0,0,1,0,3,8.1,1,0,3,0,0.0,1.7,3.0,8.26470588235294,11,573,10.0,10,10,0.0,0,1.2727272727272727,8.3,8.5,-0.40000000000000036,8,3,0,0.0,0,0.0,0.0,0,0
83,3,2,1,0,0,0,0,3,2,1,0,0.6666666666666666,0.3333333333333333,1,1,0,0,1,3,43.0,1,0,3,1,1.5,2.2,2.9999999999999996,37.56818181818182,14,570,6.5,4,9,2.5,5,1.5,39.36666666666667,64.6,-21.599999999999994,8,3,0,0.0,6,2.0,26.244444444444444,1,0
84,1,1,0,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,10.1,1,0,0,0,0.0,1.0,3.0,10.1,1,699,0.0,0,0,0.0,0,1.0,10.1,10.1,0.0,4,2,0,0.0,0,0.0,0.0,0,0
85,2,0,0,0,2,0,0,0,0,2,0,0.0,1.0,1,1,0,1,0,1,6.8,1,0,1,0,0.0,0.0,1.0,5.523529411764707,10,589,9.0,9,9,0.0,0,1.4,5.25,6.8,3.0999999999999996,8,3,0,0.0,0,0.0,0.0,0,0
86,1,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,2,9.9,1,0,0,0,0.0,0.0,2.0,9.9,1,504,0.0,0,0,0.0,0,1.0,9.9,9.9,0.0,10,4,1,1.0,0,0.0,0.0,1,1
87,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,0,1,0,1,4.2,1,0,0,0,0.0,0.0,1.0,4.2,1,546,0.0,0,0,0.0,0,1.0,4.2,4.2,0.0,9,3,0,0.0,0,0.0,0.0,0,0
88,1,0,0,0,0,1,0,0,1,0,0,1.0,0.0,0,0,0,0,1,1,41.5,1,0,0,1,1.0,0.0,1.0,41.5,1,766,0.0,0,0,0.0,0,1.0,41.5,41.5,0.0,2,1,0,0.0,0,1.0,41.5,0,0
89,6,2,1,1,0,1,1,3,6,0,0,1.0,0.0,1,1,0,0,1,2,41.5,0,1,3,6,2.8000000000000003,1.4,2.392857142857143,32.23928571428571,31,695,6.0,1,12,4.0,4,1.3548387096774193,24.916666666666668,56.6,5.5,4,2,0,0.0,18,6.0,24.916666666666668,1,0
90,1,1,0,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,13.2,1,0,0,0,0.0,1.0,3.0,13.2,1,799,0.0,0,0,0.0,0,1.0,13.2,13.2,0.0,1,1,0,0.0,0,0.0,0.0,0,0
91,1,1,0,0,0,0,0,1,1,0,0,1.0,0.0,0,0,0,0,1,3,3.1,1,0,0,1,1.0,1.0,3.0,3.1,1,497,0.0,0,0,0.0,0,1.0,3.1,3.1,0.0,11,4,1,1.0,1,1.0,3.1,0,0
92,7,1,3,2,0,1,0,4,4,3,0,0.5714285714285714,0.42857142857142855,3,1,1,1,0,3,8.6,1,0,2,0,1.0,1.8,2.5172413793103448,21.42413793103448,23,666,3.6666666666666665,1,10,3.091206165165235,8,2.130434782608696,30.099999999999998,51.3,-42.699999999999996,5,2,0,0.0,16,4.0,17.2,1,0
93,8,3,4,0,1,0,0,7,6,2,0,0.75,0.25,5,1,1,0,1,3,56.6,0,1,3,3,2.6000000000000005,2.5000000000000004,2.666666666666666,44.68,33,487,4.571428571428571,1,9,2.7701027756664733,6,1.696969696969697,33.475,68.0,52.0,11,4,1,1.0,42,6.0,25.106250000000003,1,0
94,1,0,0,0,1,0,0,0,1,0,0,1.0,0.0,0,0,0,0,1,1,1.0,1,0,0,1,1.0,0.0,1.0,1.0,1,519,0.0,0,0,0.0,0,1.0,1.0,1.0,0.0,10,4,1,1.0,0,1.0,1.0,0,0
